address,chain_id,owner_project,usage_category,contract_name
0xb4c4a493AB6356497713A78FFA6c60FB53517c63,ethereum,chainlink,oracle,CRV/USD PriceFeed
0x7f67Ca2ce5299a67acd83D52A064C5b8e41dDb80,ethereum,chainlink,oracle,CRV/ETH PriceFeed
0xDf30249744A419891f822ea4a9E80cd76d7Fbd23,ethereum,chainlink,oracle,SOL/USD PriceFeed
0xea5f70faa03f5C30B96029635C8d431d1A3cD1b8,ethereum,chainlink,oracle,XAU/USD PriceFeed
0xdA31bc2B08F22AE24aeD5F6EB1E71E96867BA196,ethereum,chainlink,oracle,stETH/USD PriceFeed
0x716BB759A5f6faCdfF91F0AfB613133d510e1573,ethereum,chainlink,oracle,stETH/ETH PriceFeed
0x71c8D42d35eD9276543FCa95d80Ae0858553Bf44,ethereum,chainlink,oracle,ALPHA/ETH PriceFeed
0x2f2c0C1727Ce8C429A237DDFBBb87357893fBD5D,ethereum,chainlink,oracle,BAL/ETH PriceFeed
0xbd9350a3a2fd6e3Ad0a053a567f2609a1bf6c505,ethereum,chainlink,oracle,BAL/USD PriceFeed
0x5667eE03110045510897aDa33DC561cEfCBcC904,ethereum,chainlink,oracle,BOND/ETH PriceFeed
0x7C8719f3683585A242a67c73F6f3C98362004Da4,ethereum,chainlink,oracle,CHF/USD PriceFeed
0x9d78092775DFE715dFe1b0d71aC1a4d6e3652559,ethereum,chainlink,oracle,FXS/USD PriceFeed
0x785433d8b06D77D68dF6be63944742130A4530d1,ethereum,chainlink,oracle,Fast Gas/Gwei PriceFeed
0x568B8FD03992F56bF240958D22f5a6fcf7Bd850b,ethereum,chainlink,oracle,GBP/USD PriceFeed
0x01A1F73b1f4726EB6EB189FFA5CBB91AF8E14025,ethereum,chainlink,oracle,JPY/USD PriceFeed
0xdEb43523E2857b7ec29D078c77b73709D958c62F,ethereum,chainlink,oracle,XAG/USD PriceFeed
0x4d839a486EC0B1C9b0D9e9D397993Ba5B150cB34,ethereum,chainlink,oracle,XRP/USD PriceFeed
0x0fC3657899693648bbA4dbd2d8b33b82E875105D,ethereum,chainlink,oracle,AVAX/USD PriceFeed
