address,chain_id,owner_project,usage_category,contract_name
0x586524Ef790f7357c6cb8461b20d788Da14A636B,ethereum,chainlink,oracle,BADGER/ETH PriceFeed
0x8093150EC164753994A1F65616E04Ae92a9Ef8c5,ethereum,chainlink,oracle,BADGER/USD PriceFeed
0x82263275FBF3fa92c6eE81632725b6BFbE4B02Da,ethereum,chainlink,oracle,BNT/USD PriceFeed
0x9A4458D02449eF9B42562205718679a8B4204962,ethereum,chainlink,oracle,BNT/ETH PriceFeed
0xfe67209f6FE3BA6cE36d0941700085C194e958DF,ethereum,chainlink,oracle,CNY/USD PriceFeed
0xdBd66e8D31F506e0cc8CB2f346De4C7FA3f655DE,ethereum,chainlink,oracle,ENJ/ETH PriceFeed
0xCBbe4ff0d8add07CCe71afC0CcdF3492b8eaA76A,ethereum,chainlink,oracle,ENJ/USD PriceFeed
0x61eB091ea16A32ea5B880d0b3D09d518c340D750,ethereum,chainlink,oracle,FRAX/USD PriceFeed
0x56f98706C14DF5C290b02Cec491bB4c20834Bb51,ethereum,chainlink,oracle,FRAX/ETH PriceFeed
0xbDb80D19dEA36EB7f63bdFD2bdD4033B2b7e8e4d,ethereum,chainlink,oracle,FTM/ETH PriceFeed
0x2006d56F8DDB210ad009cf8d71aEe4F6488cFA49,ethereum,chainlink,oracle,FTT/ETH PriceFeed
0x86e345D4113E1105053A81240C75b56B437dA6Ef,ethereum,chainlink,oracle,KRW/USD PriceFeed
0x7898AcCC83587C3C55116c5230C17a6Cd9C71bad,ethereum,chainlink,oracle,LDO/ETH PriceFeed
0xFe3d09D8bAd5DA65E0160cF0cB53F6115Fb6EA8b,ethereum,chainlink,oracle,LTC/USD PriceFeed
0x751d87122c81f0eCe576338C400ebB978D039188,ethereum,chainlink,oracle,MLN/ETH PriceFeed
0xd48aA1699f49760611D6E1Af7a4588998deD42bD,ethereum,chainlink,oracle,NZD/USD PriceFeed
0xC4aA0d2237A823f99fe2Dc74F993eEbDf5524489,ethereum,chainlink,oracle,PERP/ETH PriceFeed
0x8d6d808eC1f8803b54e2286BD6992f5601fCF3a8,ethereum,chainlink,oracle,RAI/ETH PriceFeed
0x2Abfc56AaA39be7a946ec39aAC5d452e30614dF1,ethereum,chainlink,oracle,RAI/USD PriceFeed
0xEe34b3Ce92A6B635450B9cC6FAa976F70a106BE7,ethereum,chainlink,oracle,REN/ETH PriceFeed
0x68a371D12213a1EbDd5fa9a2EE5519E6B73F1E37,ethereum,chainlink,oracle,UMA/ETH PriceFeed
0x8034d486Fc2620F87A9C32a1fB746D20Ed9BFB96,ethereum,chainlink,oracle,USDP/ETH PriceFeed
0xF3d70857B489Ecc6768D0982B773E1Cba9E1f00b,ethereum,chainlink,oracle,USDP/USD PriceFeed
0x910e014bBA427e9FCB48B4D314Dc81f840d7b6E3,ethereum,chainlink,oracle,ADX/USD PriceFeed
0x64a119DCf78E7E3FcED89c429f6F47Bf0cd80250,ethereum,chainlink,oracle,ALCX/ETH PriceFeed
0xb49322fF269d67A5aF0718C19463eC9EE7BF821E,ethereum,chainlink,oracle,ALCX/USD PriceFeed
0xb92EE05E7514FfEDDDbcd76F5e3064691F6eC79e,ethereum,chainlink,oracle,AMPL/ETH PriceFeed
0xd5090674b4653240cd94eE886484ca808c6E6694,ethereum,chainlink,oracle,AMPL/USD PriceFeed
0x7b14dF2fb3e02215Fa5525aC8A5abdAaA6314aC0,ethereum,chainlink,oracle,ANT/ETH PriceFeed
0x16423B2B6873225e26564b182b3318aFCdBFcade,ethereum,chainlink,oracle,AXS/ETH PriceFeed
0xF0c3668756b9d9590B334768640FC5ACA02aE739,ethereum,chainlink,oracle,Azuki PriceFeed
0x0eBDc65E7e9132Cb41ac5cbD0101B799D7aDb475,ethereum,chainlink,oracle,BRL/USD PriceFeed
